102D..1030     ; NSM
1031..1031     ; L
1032..1037     ; NSM
1038..1038     ; L
1039..103A     ; NSM
103B..103C     ; L
103D..103E     ; NSM
103F..1057     ; L
1058..1059     ; NSM
105A..105D     ; L
105E..1060     ; NSM
1061..1070     ; L
1071..1074     ; NSM
1075..1081     ; L
1082..1082     ; NSM
1083..1084     ; L
1085..1086     ; NSM
1087..108C     ; L
108D..108D     ; NSM
108E..109C     ; L
109D..109D     ; NSM
109E..135A     ; L
135F..135F     ; NSM
1360..138F     ; L
1390..1399     ; ON
13A0..13F4     ; L
1400..1400     ; ON
1401..167F     ; L
1680..1680     ; WS
1681..169A     ; L
169B..169C     ; ON
16A0..1711     ; L
1712..1714     ; NSM
1720..1731     ; L
1732..1734     ; NSM
1735..1751     ; L
1752..1753     ; NSM
1760..1770     ; L
1772..1773     ; NSM
1780..17B6     ; L
17B7..17BD     ; NSM
17BE..17C5     ; L
17C6..17C6     ; NSM
17C7..17C8     ; L
17C9..17D3     ; NSM
17D4..17DA     ; L
17DB..17DB     ; ET
17DC..17DC     ; L
17DD..17DD     ; NSM
17E0..17E9     ; L
17F0..180A     ; ON
180B..180D     ; NSM
180E..180E     ; WS
1810..18A8     ; L
18A9..18A9     ; NSM
18AA..191C     ; L
1920..1922     ; NSM
1923..1926     ; L
1927..1928     ; NSM
1929..1931     ; L
1932..1932     ; NSM
1933..1938     ; L
1939..193B     ; NSM
1940..1945     ; ON
1946..19DA     ; L
19DE..19FF     ; ON
1A00..1A16     ; L
1A17..1A18     ; NSM
1A19..1A55     ; L
1A56..1A56     ; NSM
1A57..1A57     ; L
1A58..1A60     ; NSM
1A61..1A61     ; L
1A62..1A62     ; NSM
1A63..1A64     ; L
1A65..1A6C     ; NSM
1A6D..1A72     ; L
1A73..1A7F     ; NSM
1A80..1AAD     ; L
1B00..1B03     ; NSM
1B04..1B33     ; L
1B34..1B34     ; NSM
1B35..1B35     ; L
1B36..1B3A     ; NSM
1B3B..1B3B     ; L
1B3C..1B3C     ; NSM
1B3D..1B41     ; L
1B42..1B42     ; NSM
1B43..1B6A     ; L
1B6B..1B73     ; NSM
1B74..1B7C     ; L
1B80..1B81     ; NSM
